alpha_id,expr,sharpe,fitness,turnover,ic_mean
mdRRLx5,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 7)",-0.32,-0.15,0.0186,-0.002858
kvrrrrl,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 8)",0.28,0.09,0.0172,0.001399
GXAAnmx,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 9)",0.24,0.07,0.0203,0.001048
JoEEGAx,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 0)",0.06,0.01,0.0715,9.8e-05
KvddVvN,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 1)",-0.18,-0.06,0.0216,-0.001289
GXAA7PP,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 2)",0.52,0.23,0.0357,0.00141
LEaaYG1,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 3)",-0.26,-0.11,0.031,-0.00139
Y8KKeP6,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 4)",0.39,0.15,0.0146,0.002582
GXApP1Q,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 5)",0.39,0.15,0.0138,0.002836
Pxadd8q,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 6)",-0.15,-0.03,0.0354,-0.000227
dYVAqqY,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 7)",0.32,0.11,0.0166,0.001918
joRbX7W,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 8)",0.22,0.05,0.0194,0.000665
LEaAndn,"ts_regression (ts_zscore(cap,500), ts_zscore(goodwill,500),500,rettype = 9)",-0.03,-0.01,0.0335,-0.000555
5r0ok5z,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 0)",-0.16,-0.05,0.0785,-0.000365
gXOEQMl,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 1)",0.0,0.0,0.0197,3.7e-05
XVQ5zJX,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 2)",-0.06,-0.01,0.0277,-0.000186
lEObwzl,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 3)",-0.0,-0.0,0.0312,-7e-06
JoEKj7A,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 4)",-0.09,-0.02,0.0166,-0.000743
5r0W0mn,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 5)",0.06,0.01,0.0159,0.000522
oR5O2Zm,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 6)",0.12,0.02,0.0302,0.000234
5r0W975,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 7)",-0.29,-0.12,0.0187,-0.002468
QOkX2o5,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 8)",0.15,0.04,0.0199,0.000741
gXOpM60,"ts_regression (ts_zscore(cap,500), ts_zscore(cash,500),500,rettype = 9)",0.31,0.11,0.0234,0.001387
0x3vpov,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 0)",-0.31,-0.14,0.0748,-0.000707
XVQ6J7X,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 1)",-0.1,-0.02,0.0162,-0.000913
AeZKm8e,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 2)",0.28,0.08,0.0215,0.000937
eNwRZVN,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 3)",0.09,0.02,0.0298,0.000478
kvr5dv6,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 4)",0.05,0.01,0.0163,0.000372
AeZdK3E,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 5)",0.16,0.05,0.0157,0.001319
oR5eQRm,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 6)",-0.2,-0.04,0.0296,-0.000371
1Ob5Lw6,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 7)",-0.27,-0.11,0.0178,-0.00221
ENWAqJJ,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 8)",-0.41,-0.18,0.0204,-0.002343
xV8an9n,"ts_regression (ts_zscore(cap,500), ts_zscore(income,500),500,rettype = 9)",0.23,0.06,0.022,0.000834
XVQEo61,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 0)",-0.37,-0.19,0.0727,-0.000888
eNwJ90z,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 1)",0.19,0.07,0.0158,0.001912
29zkjQw,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 2)",-0.06,-0.01,0.019,-0.000246
5r0VAZ6,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 3)",0.28,0.13,0.0269,0.001937
AeZdE5Y,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 4)",0.74,0.44,0.0155,0.005776
ENWAPvG,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 5)",0.55,0.29,0.0149,0.004672
ENWAdLm,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 6)",-1.24,-0.68,0.0292,-0.002573
oR528bl,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 7)",0.63,0.36,0.0165,0.005093
bJZp5km,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 8)",0.46,0.22,0.0142,0.00416
R9QXXNe,"ts_regression (ts_zscore(cap,500), ts_zscore(revenue,500),500,rettype = 9)",0.62,1.38,0.0174,0.071051
pxr0o13,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 0)",-0.31,-0.14,0.0732,-0.000704
qOrbP1E,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 1)",0.09,0.02,0.0158,0.000839
29zE71Z,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 2)",0.55,0.22,0.0203,0.002022
GXAVG0o,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 3)",0.18,0.06,0.0281,0.001111
dYVqYXE,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 4)",0.44,0.2,0.0155,0.003278
1ObvReQ,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 5)",0.37,0.16,0.015,0.00302
xV8Xw3N,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 6)",-0.77,-0.32,0.0295,-0.001485
vZMa9Zb,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 7)",0.22,0.07,0.0165,0.001727
vZMam7z,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 8)",0.29,0.11,0.015,0.002382
1Ob6zO6,"ts_regression (ts_zscore(cap,500), ts_zscore(cogs,500),500,rettype = 9)",0.33,0.3,0.0257,0.007913
mdReYLp,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 0)",-0.24,-0.09,0.0734,-0.000507
1Ob6lmQ,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 1)",-0.08,-0.02,0.0179,-0.000717
6ZVgQY7,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 2)",0.22,0.05,0.0224,0.00059
GXA0P93,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 3)",-0.07,-0.02,0.027,-0.00045
r9g6mb3,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 4)",-0.04,-0.01,0.0159,-0.000274
zg6wXx1,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 5)",0.1,0.02,0.0148,0.00081
vZMn5xG,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 6)",0.34,0.09,0.0265,0.000668
w3xwlK5,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 7)",-0.21,-0.07,0.0169,-0.001601
mdR2gd9,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 8)",-0.23,-0.06,0.0186,-0.000836
VZjwdo0,"ts_regression (ts_zscore(cap,500), ts_zscore(cashflow_op,500),500,rettype = 9)",-0.31,-0.09,0.0207,-0.001043
pxrJW3X,"ts_regression (ts_zscore(cap,500), ts_zscore(bookvalue_ps,500),500,rettype = 0)",-0.1,-0.02,0.0737,-0.000208
ORPwVGv,"ts_regression (ts_zscore(cap,500), ts_zscore(bookvalue_ps,500),500,rettype = 3)",-0.17,-0.06,0.0285,-0.000983
aeZ2gY6,"ts_regression (ts_zscore(cap,500), ts_zscore(bookvalue_ps,500),500,rettype = 4)",0.02,0.0,0.0158,0.000114
xV89a3n,"ts_regression (ts_zscore(cap,500), ts_zscore(bookvalue_ps,500),500,rettype = 5)",0.02,0.0,0.015,0.000161
Pxaqlnq,"ts_regression (ts_zscore(cap,500), ts_zscore(bookvalue_ps,500),500,rettype = 6)",-0.33,-0.09,0.0284,-0.000718
pxroVNx,"ts_regression (ts_zscore(cap,500), ts_zscore(bookvalue_ps,500),500,rettype = 7)",-0.28,-0.11,0.0175,-0.002159
0x398Rr,"ts_regression (ts_zscore(cap,500), ts_zscore(bookvalue_ps,500),500,rettype = 8)",0.2,0.04,0.0171,0.000729
5r03z66,"ts_regression (ts_zscore(cap,500), ts_zscore(bookvalue_ps,500),500,rettype = 9)",0.38,0.12,0.0194,0.001389
