alpha_id,expr,sharpe,fitness,turnover,ic_mean
6GWWJqE,interest_expense/cap,0.34,0.23,0.0525,0.002201
e1WbJbg,fnd6_ciother/cap,0.3,0.16,0.0351,0.001934
GQ7GwrZ,fnd6_acdo/cap,0.88,0.9,0.0319,0.008144
ZX1E0vx,fnd6_acodo/cap,1.11,1.12,0.0375,0.006764
pWpNLz6,fnd6_adesinda_curcd/cap,-0.25,-0.13,0.0494,-0.001379
n6jEwn3,fnd6_newa2v1300_rdipeps/cap,-0.02,-0.0,0.0398,-0.000319
5G2QpjN,fnd6_ci/cap,0.27,0.15,0.0511,0.001523
Yl952Mw,fnd6_ceql/cap,1.07,1.02,0.0491,0.004664
6G2pMNK,fnd6_acox/cap,1.09,1.08,0.0374,0.006584
xlLZbWl,fnd6_newqv1300_ancq/cap,0.46,0.34,0.0472,0.002958
oPbdX16,fnd6_zipcode/cap,-0.2,-0.1,0.0456,-0.001292
r0qxxq9,fnd6_intc/cap,0.73,0.61,0.0355,0.004914
O62rKGd,fnd6_capxv/cap,0.6,0.68,0.0444,0.007124
2Gg3E9Z,fnd6_rea/cap,-0.03,-0.01,0.0444,-0.000302
oPbxvAm,fnd6_itci/cap,0.93,1.13,0.0484,0.007653
r0qZJrd,fnd6_lcox/cap,0.57,0.4,0.0377,0.003274
GQ2ZLVx,fnd6_state/cap,-0.26,-0.13,0.0415,-0.00153
pW29vPx,fnd6_recd/cap,0.35,0.23,0.0428,0.002467
NK27oPo,fnd6_am/cap,0.25,0.14,0.0414,0.001879
r0n5WL3,fnd6_ch/cap,0.41,0.24,0.0396,0.002185
O631vP7,fnd6_xrent/cap,0.89,1.1,0.0507,0.00754
2GY1Q15,fnd6_newqv1300_drltq/cap,0.54,0.38,0.0417,0.002998
QW81Emg,fnd6_txo/cap,-0.01,-0.0,0.0419,-5.7e-05
pWLql7g,fnd6_exre/cap,0.13,0.05,0.0394,0.000862
7G2ZeP2,fnd6_cik/cap,-0.59,-0.48,0.0521,-0.003185
WY5EO6x,fnd6_newqv1300_drcq/cap,0.53,0.36,0.0495,0.002371
R5gJlYa,fnd6_newqv1300_acomincq/cap,-0.13,-0.04,0.0475,-0.000538
9GnzOxe,fnd6_city/cap,-0.7,-0.58,0.0478,-0.003558
lgmLoY5,fnd6_weburl/cap,-0.59,-0.49,0.0518,-0.003343
8Gw850l,fnd6_mfmq_cshprq/cap,-0.14,-0.06,0.0496,-0.000902
Emd5XqG,fnd6_newa2v1300_ppent/cap,0.8,0.84,0.0421,0.006554
gr2J70K,fnd6_cshtrq/cap,-0.32,-0.26,0.0614,-0.002659
gr2J70K,fnd6_cshtrq/cap,-0.32,-0.26,0.0614,-0.002659
QW8PEOp,fnd6_mrc2/cap,0.79,0.93,0.0521,0.006646
3GNqedg,fnd6_cptmfmq_opepsq/cap,0.44,0.27,0.0623,0.001487
O630NRY,fnd6_incorp/cap,-0.19,-0.07,0.0383,-0.000863
r0xK9X8,fnd6_teq/cap,0.89,0.77,0.0427,0.004376
YlePJZw,fnd6_cptmfmq_lctq/cap,0.76,0.67,0.0467,0.004117
L8QLvAa,fnd6_newa1v1300_gp/cap,0.75,0.71,0.0448,0.00503
GQR1qK5,fnd6_loc/cap,-0.86,-0.85,0.0477,-0.005122
9G2pkqx,fnd6_acqgdwl/cap,-0.26,-0.15,0.048,-0.001737
wNrKX8Q,fnd6_fyrc/cap,-0.38,-0.25,0.051,-0.002043
lgmpzGA,fnd6_newqv1300_intanoq/cap,0.43,0.32,0.0477,0.002986
oPd8K1k,fnd6_mfma1_at/cap,0.94,0.92,0.0388,0.006182
vYQwj23,fnd6_cptmfmq_ceqq/cap,0.9,0.77,0.048,0.003789
zAVKrPd,fnd6_ein/cap,-0.18,-0.08,0.0489,-0.000958
zAVKA7R,fnd6_dlto/cap,0.73,0.7,0.0446,0.005114
R5gjPoo,fnd6_newa1v1300_bkvlps/cap,0.24,0.11,0.0475,0.001209
XN0G9K8,assets/sales,0.41,0.37,0.0376,0.005381
n6E9Xrq,liabilities/sales,0.46,0.41,0.0388,0.005231
ALAKaEE,operating_income/sales,-0.53,-0.57,0.0373,-0.007678
J39KppE,capex/sales,0.41,0.42,0.0398,0.006649
WY58PMP,debt/sales,0.37,0.32,0.0495,0.003672
vYQg16Q,ebit/sales,-0.69,-0.86,0.0386,-0.010017
n6EVeqa,ebitda/sales,-0.66,-0.8,0.0396,-0.009318
k8AlY6K,equity/sales,0.23,0.16,0.0376,0.003071
vYQgQNz,enterprise_value/sales,0.25,0.2,0.0629,0.002576
5GXVxez,eps/sales,-0.12,-0.06,0.0433,-0.001376
R5gLXPo,debt_lt/sales,0.31,0.24,0.0445,0.003255
zAVzJnE,assets_curr/sales,0.39,0.36,0.0444,0.00472
R5gLrEg,goodwill/sales,-0.51,-0.35,0.0318,-0.003792
7GpVzKb,cash/sales,0.39,0.36,0.0472,0.004419
EmdAR09,income/sales,-0.4,-0.37,0.0381,-0.005616
MgrA2Gz,cogs/sales,0.2,0.13,0.0371,0.002884
vYQ0Kqb,cashflow_op/sales,-0.68,-0.84,0.0412,-0.009269
XN0qGJm,bookvalue_ps/sales,-0.01,-0.0,0.0476,-0.000125
Emd3XdJ,ppent/sales,0.36,0.32,0.0454,0.004444
pWL0Jav,operating_expense/sales,0.53,0.57,0.0372,0.007671
2GYEn8N,inventory/sales,0.06,0.02,0.0416,0.00039
YleZYpA,cashflow/sales,0.08,0.03,0.0482,0.000848
0GJoJdv,sga_expense/sales,0.49,0.63,0.0422,0.009938
r0xQp9J,debt_st/sales,0.41,0.35,0.049,0.003751
NKZkv2q,cash_st/sales,0.36,0.31,0.0393,0.004627
QW8mjbK,receivable/sales,0.16,0.07,0.0374,0.001275
6GkgRoL,return_equity/sales,-0.3,-0.27,0.0567,-0.003651
L8QO1O2,retained_earnings/sales,-0.32,-0.28,0.0541,-0.003534
3GNgXnQ,fnd6_fopo/sales,0.77,1.02,0.0423,0.010404
WY5KYQd,income_tax/sales,0.09,0.03,0.0573,0.000555
n6Ewl5q,liabilities_curr/sales,0.47,0.48,0.0465,0.00551
WY5K5mZ,pretax_income/sales,-0.4,-0.37,0.0384,-0.005544
YlewGmo,cashflow_fin/sales,0.24,0.17,0.039,0.003156
d9G8qnx,income_beforeextra/sales,-0.4,-0.37,0.0382,-0.005598
L8QblX2,current_ratio/sales,0.35,0.33,0.0499,0.004477
O63wpv7,sales_growth/sales,0.34,0.4,0.0838,0.004191
0GJkXEv,return_assets/sales,-0.1,-0.05,0.05,-0.001271
zAVw3mO,inventory_turnover/sales,-0.69,-0.66,0.0468,-0.004949
pWLJG0o,sales_ps/sales,-0.09,-0.02,0.0129,-0.000679
7Gp0W35,cashflow_dividends/sales,0.01,0.0,0.0307,3.4e-05
NKZqvZ7,invested_capital/sales,0.35,0.29,0.0418,0.00419
ALAYJje,fnd6_drlt/sales,0.52,0.52,0.0313,0.007938
gr2wo8Q,cashflow_invst/sales,0.56,0.63,0.0491,0.006462
lgmk35e,employee/sales,0.38,0.32,0.0402,0.004517
NKZqadw,working_capital/sales,0.23,0.16,0.0442,0.002674
WY5noKk,depre_amort/sales,0.23,0.16,0.0521,0.002376
q5RvweE,fnd6_ivaco/sales,0.14,0.08,0.0422,0.002027
O63qdq1,fnd6_drc/sales,-0.17,-0.1,0.0339,-0.002426
pWLEroq,fnd6_mrcta/sales,0.71,0.9,0.0362,0.011163
NKZ6Mmg,fnd6_fatl/sales,0.22,0.17,0.0404,0.003608
lgm22oe,rd_expense/sales,0.15,0.12,0.0971,0.001522
VMWE2AG,interest_expense/sales,0.06,0.02,0.0507,0.000775
3GNxAOP,fnd6_ciother/sales,-0.44,-0.31,0.0317,-0.003798
ALAb5El,fnd6_acdo/sales,-0.05,-0.02,0.0268,-0.000881
k8AXzb8,fnd6_acodo/sales,0.23,0.16,0.0341,0.003382
QW8lk6p,fnd6_adesinda_curcd/sales,0.54,0.62,0.0446,0.007476
k8AmRkL,fnd6_newa2v1300_rdipeps/sales,-0.13,-0.09,0.0365,-0.003388
r0xzz08,fnd6_ci/sales,-0.78,-1.04,0.041,-0.010889
gr2P1WK,fnd6_ceql/sales,0.05,0.02,0.0397,0.000624
ALAaG0d,fnd6_acox/sales,0.18,0.11,0.0344,0.00252
3GN6XKe,fnd6_newqv1300_ancq/sales,0.4,0.36,0.0389,0.005166
vYQJK6z,fnd6_zipcode/sales,-0.07,-0.03,0.048,-0.000897
5GXqRk1,fnd6_intc/sales,0.23,0.22,0.03,0.00762
J395Y1n,fnd6_capxv/sales,0.42,0.44,0.0399,0.006897
R5gkkKz,fnd6_rea/sales,0.52,0.58,0.0398,0.007738
5GXqkl1,fnd6_itci/sales,0.86,1.25,0.0373,0.014246
bxwWRep,fnd6_lcox/sales,0.59,0.69,0.0369,0.00941
wNrJoW2,fnd6_state/sales,0.52,0.63,0.0419,0.008733
oPd9rpn,fnd6_recd/sales,-0.27,-0.17,0.0317,-0.002994
WY5W2wZ,fnd6_am/sales,-0.07,-0.02,0.0328,-0.000818
e1jqXlM,fnd6_ch/sales,0.57,0.6,0.036,0.007785
q5RPqeE,fnd6_xrent/sales,0.58,0.68,0.0368,0.009264
WY5ad5O,fnd6_txo/sales,0.1,0.05,0.0384,0.001802
mKvrXbx,fnd6_exre/sales,0.01,0.0,0.0451,0.000191
0GJeMM1,fnd6_cik/sales,0.45,0.48,0.0435,0.00641
ALAgvEY,fnd6_newqv1300_drcq/sales,-0.15,-0.07,0.0424,-0.001469
oPd3RWb,fnd6_newqv1300_acomincq/sales,-0.13,-0.07,0.0494,-0.001316
oPd3rlb,fnd6_city/sales,0.09,0.05,0.0459,0.00141
n6EZjvM,fnd6_weburl/sales,0.4,0.4,0.0446,0.005579
